Input points: 256
Block 2: 3.878050
Block 3: 4.693179
Block 0: 3.572527
Block 1: 4.721024
Block 2: 4.192296
Block 3: 5.117982
Block 0: 3.692470
Block 1: 4.312367
Block 2: 3.537213
Block 3: 4.209884
Block 0: 3.398998
Block 1: 4.095015
Block 2: 3.606037
Block 3: 4.587039
Block 0: 3.373700
Block 1: 4.241544
Block 2: 3.503448
Block 3: 4.443652
Block 0: 4.020097
Block 1: 4.457851
Block 2: 4.152657
Block 3: 5.178960
Block 0: 3.777300
Block 1: 4.694846
Block 2: 4.216841
Block 3: 4.868427
Block 0: 3.476737
Block 1: 4.321797
Block 2: 3.737163
Block 3: 4.704598
Block 0: 3.713419
Block 1: 4.630372
Block 2: 3.619204
Block 3: 4.905988
Block 0: 3.413449
Block 1: 4.167938
Block 2: 3.392531
Block 3: 4.063904
Block 0: 3.847547
Block 1: 4.728990
Block 2: 3.922812
Block 3: 4.927068
Block 0: 3.547709
Block 1: 4.550626
Block 2: 3.780421
Block 3: 4.248193
Block 0: 3.630522
Block 1: 4.359851
Block 2: 3.741664
Block 3: 4.572426
Block 0: 3.165961
Block 1: 4.270112
Block 2: 3.520938
Block 3: 4.418525
Block 0: 3.221603
Block 1: 4.265577
Block 2: 3.087656
Block 3: 4.096498
Block 0: 3.169719
Block 1: 3.671331
Block 2: 3.239457
Block 3: 3.913666
Block 0: 3.345270
Block 1: 4.731265
Block 2: 3.795166
Block 3: 4.897978
Block 0: 3.700524
Block 1: 4.646482
Block 2: 4.067190
Block 3: 4.819373
Block 0: 3.527719
Block 1: 4.702614
Block 2: 3.377006
Block 3: 4.715087
Block 0: 3.486611
Block 1: 4.593353
Block 2: 3.576057
Block 3: 3.922839
Block 0: 3.306411
Block 1: 4.088999
Block 2: 3.262519
Block 3: 4.457462
Block 0: 3.399618
Block 1: 3.976952
Block 2: 3.468639
Block 3: 4.649756
Block 0: 3.392775
Block 1: 4.102076
Block 2: 3.705601
Block 3: 4.682060
Block 0: 3.489255
Block 1: 4.133957
Block 2: 3.539670
Block 3: 4.757004
Block 0: 3.469923
Block 1: 4.458023
Block 2: 3.824930
Block 3: 4.825861
Block 0: 3.644734
Block 1: 4.626174
Block 2: 3.959753
Block 3: 5.096939
Block 0: 3.365687
Block 1: 4.296622
Block 2: 3.659024
Block 3: 4.472888
Block 0: 3.768525
Block 1: 4.376331
Block 2: 4.076594
Block 3: 4.783449
Block 0: 3.533138
Block 1: 4.497491
Block 2: 3.882453
Block 3: 4.884383
Block 0: 3.700313
Block 1: 4.696999
Block 2: 3.607066
Block 3: 4.601439
Block 0: 3.740009
Block 1: 4.140615
Block 2: 3.384397
Block 3: 3.954129
Block 0: 3.500867
Block 1: 4.302178
Block 2: 3.732968
Block 3: 4.770070
Block 0: 3.480947
Block 1: 4.029543
Block 2: 3.418425
Block 3: 4.348607
Block 0: 3.382380
Block 1: 4.392974
Block 2: 3.690359
Block 3: 4.989125
Block 0: 3.171142
Block 1: 4.207180
Block 2: 3.394777
Block 3: 4.398166
Block 0: 3.347839
Block 1: 4.234931
Block 2: 3.621903
Block 3: 4.522006
Block 0: 3.314658
Block 1: 4.066400
Block 2: 3.250575
Block 3: 4.471254
Block 0: 4.076170
Block 1: 4.648422
Block 2: 4.179977
Block 3: 4.789502
Block 0: 3.627568
Block 1: 4.184484
Block 2: 3.740369
Block 3: 4.559206
Block 0: 3.624248
Block 1: 4.345278
Block 2: 3.444548
Block 3: 4.374673
Block 0: 3.727841
Block 1: 4.428082
Block 2: 3.814900
Block 3: 4.709668
Block 0: 3.616821
Block 1: 4.140521
Block 2: 3.657868
Block 3: 4.432603
Block 0: 3.948947
Block 1: 4.659199
Block 2: 4.182295
Block 3: 4.674973
Block 0: 3.504584
Block 1: 4.119855
Block 2: 3.431328
Block 3: 4.323350
Block 0: 3.481947
Block 1: 4.508002
Block 2: 3.588434
Block 3: 4.612452
Block 0: 3.458771
Block 1: 4.455297
Block 2: 3.644293
Block 3: 4.437488
Block 0: 3.542143
Block 1: 4.548809
Block 2: 3.930443
Block 3: 4.771487
Block 0: 3.707269
Block 1: 4.792982
Block 2: 3.798189
Block 3: 4.481933
Block 0: 4.168910
Block 1: 4.455537
Block 2: 4.312134
Block 3: 4.846360
Block 0: 3.721052
Block 1: 4.816773
Block 2: 3.859667
Block 3: 4.623309
Block 0: 4.323472
Block 1: 4.537986
Block 2: 4.400129
Block 3: 4.948628
Block 0: 3.734093
Block 1: 4.299080
Block 2: 3.313031
Block 3: 4.363999
Block 0: 3.739700
Block 1: 4.376823
Block 2: 4.035954
Block 3: 4.850849
Block 0: 3.457037
Block 1: 4.570660
Block 2: 3.685654
Block 3: 4.786466
Block 0: 3.252196
Block 1: 4.645577
Block 2: 3.691191
Block 3: 4.405368
Block 0: 3.772946
Block 1: 3.873064
Block 2: 3.674906
Block 3: 4.604550
Block 0: 3.478867
Block 1: 4.500165
Block 2: 4.173293
Block 3: 4.977432
Block 0: 3.398561
Block 1: 4.054339
Block 2: 3.521600
Block 3: 4.302104
Block 0: 3.722794
Block 1: 4.137070
Block 2: 3.740058
Block 3: 4.466765
Block 0: 3.457695
Block 1: 4.254169
Block 2: 3.558325
Block 3: 4.690349
Block 0: 3.471576
Block 1: 4.061649
Block 2: 3.569204
Block 3: 4.319404
Block 0: 3.019894
Block 1: 3.801000
Block 2: 3.272458
Block 3: 4.031450
Block 0: 3.489259
Block 1: 4.281031
Block 2: 3.535946
Block 3: 4.406444
Block 0: 3.351334
Block 1: 3.861042
Block 2: 3.558475
Block 3: 4.517413
Block 0: 3.171026
Block 1: 4.188163
Block 2: 3.338749
Block 3: 4.501463
Block 0: 4.288719
Block 1: 4.423005
Block 2: 4.255984
Block 3: 4.947422
Block 0: 3.669299
Block 1: 4.480571
Block 2: 3.872816
Block 3: 4.601494
Block 0: 3.643592
Block 1: 4.326434
Block 2: 3.735723
Block 3: 4.407396
Block 0: 3.504528
Block 1: 4.261777
Block 2: 3.696571
Block 3: 4.869951
Block 0: 3.562543
Block 1: 4.899865
Block 2: 3.985234
Block 3: 4.984188
Block 0: 3.888360
Block 1: 4.671633
Block 2: 4.021232
Block 3: 4.869158
Block 0: 3.796799
Block 1: 4.581805
Block 2: 3.850822
Block 3: 4.827850
Block 0: 3.477309
Block 1: 4.455979
Block 2: 3.774439
Block 3: 4.587937
Block 0: 3.823432
Block 1: 4.384231
Block 2: 3.499984
Block 3: 4.549395
Block 0: 3.783378
Block 1: 4.512150
Block 2: 3.803869
Block 3: 4.803608
Block 0: 3.681675
Block 1: 4.307825
Block 2: 3.539521
Block 3: 4.425383
Block 0: 3.331060
Block 1: 4.346828
Block 2: 3.242158
Block 3: 4.358263
Block 0: 3.974469
Block 1: 4.477254
Block 2: 4.276069
Block 3: 4.992599
Block 0: 3.379411
Block 1: 4.078609
Block 2: 3.391803
Block 3: 4.130724
Block 0: 3.926022
Block 1: 4.724305
Block 2: 3.916732
Block 3: 4.826848
Block 0: 3.148140
Block 1: 4.559076
Block 2: 3.771031
Block 3: 4.480079
Block 0: 3.762058
Block 1: 4.091147
Block 2: 3.939991
Block 3: 4.759542
Block 0: 3.366434
Block 1: 4.041083
Block 2: 3.534540
Block 3: 4.219743
Block 0: 3.349970
Block 1: 4.440645
Block 2: 3.645918
Block 3: 4.638898
Block 0: 3.806920
Block 1: 3.960588
Block 2: 3.595006
Block 3: 4.029532
Block 0: 3.715442
Block 1: 4.515159
Block 2: 4.029691
Block 3: 4.801375
Block 0: 3.656166
