Input points: 256
Block 3: 0.769379
Block 0: 0.762471
Block 1: 0.784181
Block 2: 0.810634
Block 3: 0.726264
Block 0: 0.768544
Block 1: 0.804969
Block 2: 0.821033
Block 3: 0.736910
Block 0: 0.799369
Block 1: 0.818624
Block 2: 0.848137
Block 3: 0.767291
Block 0: 0.847088
Block 1: 0.877971
Block 2: 0.904757
Block 3: 0.793606
Block 0: 0.776218
Block 1: 0.789642
Block 2: 0.831979
Block 3: 0.764451
Block 0: 0.793052
Block 1: 0.822532
Block 2: 0.843885
Block 3: 0.703604
Block 0: 0.760545
Block 1: 0.767901
Block 2: 0.803151
Block 3: 0.775515
Block 0: 0.787273
Block 1: 0.805172
Block 2: 0.826603
Block 3: 0.813387
Block 0: 0.713719
Block 1: 0.721999
Block 2: 0.759562
Block 3: 0.691282
Block 0: 0.706242
Block 1: 0.715216
Block 2: 0.756844
Block 3: 0.737687
Block 0: 0.833899
Block 1: 0.859675
Block 2: 0.882028
Block 3: 0.799841
Block 0: 0.713061
Block 1: 0.719931
Block 2: 0.756091
Block 3: 0.724618
Block 0: 0.813044
Block 1: 0.828398
Block 2: 0.866509
Block 3: 0.773516
Block 0: 0.759405
Block 1: 0.778693
Block 2: 0.813333
Block 3: 0.706451
Block 0: 0.794414
Block 1: 0.821676
Block 2: 0.854716
Block 3: 0.756144
Block 0: 0.735219
Block 1: 0.757094
Block 2: 0.781438
Block 3: 0.707812
Block 0: 0.748453
Block 1: 0.775014
Block 2: 0.787881
Block 3: 0.707555
Block 0: 0.724892
Block 1: 0.741031
Block 2: 0.791196
Block 3: 0.675487
Block 0: 0.799039
Block 1: 0.817108
Block 2: 0.860769
Block 3: 0.756275
Block 0: 0.776007
Block 1: 0.799315
Block 2: 0.814149
Block 3: 0.779578
Block 0: 0.788215
Block 1: 0.808930
Block 2: 0.840185
Block 3: 0.775899
Block 0: 0.766697
Block 1: 0.785326
Block 2: 0.833003
Block 3: 0.706574
Block 0: 0.818730
Block 1: 0.842403
Block 2: 0.882570
Block 3: 0.771664
Block 0: 0.807159
Block 1: 0.832768
Block 2: 0.865931
Block 3: 0.813467
Block 0: 0.787474
Block 1: 0.806994
Block 2: 0.830902
Block 3: 0.772509
Block 0: 0.809576
Block 1: 0.850932
Block 2: 0.871468
Block 3: 0.771149
Block 0: 0.774685
Block 1: 0.801699
Block 2: 0.845961
Block 3: 0.751628
Input points: 384
Block 0: 0.826677
Block 1: 0.836885
Block 2: 0.880226
Block 3: 0.804164
Block 0: 0.791647
Block 1: 0.818544
Block 2: 0.852517
Block 3: 0.769856
Block 0: 0.796531
Block 1: 0.805930
Block 2: 0.844562
Block 3: 0.726888
Block 0: 0.729012
Block 1: 0.735453
Block 2: 0.768151
Block 3: 0.704875
Block 0: 0.743714
Block 1: 0.763729
Block 2: 0.805730
Block 3: 0.738418
Block 0: 0.758356
Block 1: 0.777262
Block 2: 0.810214
Block 3: 0.721485
Block 0: 0.723836
Block 1: 0.750444
Block 2: 0.775185
Block 3: 0.665847
Block 0: 0.795324
Block 1: 0.818534
Block 2: 0.861075
Block 3: 0.762771
